filename,width,height,class,xmin,ymin,xmax,ymax
aeolianDune(1).jpg,320,240,aeolianDune,124,36,286,210
aeolianDune(10).jpg,320,240,aeolianDune,122,37,287,206
aeolianDune(100).jpg,320,240,aeolianDune,119,37,285,208
aeolianDune(101).jpg,320,240,aeolianDune,120,37,285,207
aeolianDune(102).jpg,320,240,aeolianDune,120,37,286,207
aeolianDune(103).jpg,320,240,aeolianDune,120,37,288,206
aeolianDune(104).jpg,320,240,aeolianDune,121,38,284,210
aeolianDune(105).jpg,320,240,aeolianDune,117,38,285,208
aeolianDune(106).jpg,320,240,aeolianDune,116,38,283,208
aeolianDune(107).jpg,320,240,aeolianDune,122,35,285,209
aeolianDune(108).jpg,320,240,aeolianDune,123,37,285,208
aeolianDune(109).jpg,320,240,aeolianDune,120,37,284,208
aeolianDune(11).jpg,320,240,aeolianDune,118,37,287,206
aeolianDune(110).jpg,320,240,aeolianDune,122,37,283,205
aeolianDune(111).jpg,320,240,aeolianDune,120,34,284,207
aeolianDune(112).jpg,320,240,aeolianDune,114,37,284,207
aeolianDune(113).jpg,320,240,aeolianDune,121,36,286,207
aeolianDune(114).jpg,320,240,aeolianDune,114,35,287,207
aeolianDune(115).jpg,320,240,aeolianDune,123,35,289,208
aeolianDune(116).jpg,320,240,aeolianDune,119,37,286,208
aeolianDune(117).jpg,320,240,aeolianDune,116,36,284,208
aeolianDune(118).jpg,320,240,aeolianDune,121,34,287,209
aeolianDune(119).jpg,320,240,aeolianDune,121,37,285,208
aeolianDune(12).jpg,320,240,aeolianDune,120,36,289,206
aeolianDune(120).jpg,320,240,aeolianDune,118,36,285,209
aeolianDune(121).jpg,320,240,aeolianDune,119,36,283,210
aeolianDune(122).jpg,320,240,aeolianDune,117,36,286,208
aeolianDune(123).jpg,320,240,aeolianDune,118,33,285,208
aeolianDune(124).jpg,320,240,aeolianDune,116,35,284,209
aeolianDune(125).jpg,320,240,aeolianDune,122,37,286,210
aeolianDune(126).jpg,320,240,aeolianDune,119,37,284,208
aeolianDune(127).jpg,320,240,aeolianDune,113,36,283,208
aeolianDune(128).jpg,320,240,aeolianDune,123,37,286,207
aeolianDune(129).jpg,320,240,aeolianDune,120,35,285,207
aeolianDune(13).jpg,320,240,aeolianDune,122,36,290,205
aeolianDune(130).jpg,320,240,aeolianDune,119,36,284,208
aeolianDune(131).jpg,320,240,aeolianDune,118,39,284,209
aeolianDune(132).jpg,320,240,aeolianDune,117,37,283,208
aeolianDune(133).jpg,320,240,aeolianDune,117,35,283,208
aeolianDune(134).jpg,320,240,aeolianDune,123,38,286,208
aeolianDune(135).jpg,320,240,aeolianDune,120,36,285,210
aeolianDune(136).jpg,320,240,aeolianDune,117,35,288,207
aeolianDune(137).jpg,320,240,aeolianDune,119,33,282,208
aeolianDune(138).jpg,320,240,aeolianDune,122,34,286,209
aeolianDune(139).jpg,320,240,aeolianDune,124,33,284,214
aeolianDune(14).jpg,320,240,aeolianDune,123,38,290,204
aeolianDune(140).jpg,320,240,aeolianDune,116,36,284,208
aeolianDune(141).jpg,320,240,aeolianDune,118,36,288,205
aeolianDune(142).jpg,320,240,aeolianDune,117,36,287,210
aeolianDune(143).jpg,320,240,aeolianDune,120,35,285,209
aeolianDune(144).jpg,320,240,aeolianDune,116,36,284,208
aeolianDune(145).jpg,320,240,aeolianDune,122,36,285,207
aeolianDune(146).jpg,320,240,aeolianDune,117,36,283,210
aeolianDune(147).jpg,320,240,aeolianDune,119,35,288,206
aeolianDune(148).jpg,320,240,aeolianDune,116,36,286,210
aeolianDune(149).jpg,320,240,aeolianDune,119,36,285,207
aeolianDune(15).jpg,320,240,aeolianDune,119,35,288,206
aeolianDune(150).jpg,320,240,aeolianDune,120,35,285,210
aeolianDune(151).jpg,320,240,aeolianDune,111,35,287,207
aeolianDune(152).jpg,320,240,aeolianDune,115,39,287,206
aeolianDune(153).jpg,320,240,aeolianDune,116,37,288,206
aeolianDune(154).jpg,320,240,aeolianDune,117,35,285,205
aeolianDune(155).jpg,320,240,aeolianDune,112,37,285,207
aeolianDune(156).jpg,320,240,aeolianDune,112,36,284,206
aeolianDune(157).jpg,320,240,aeolianDune,114,38,290,205
aeolianDune(158).jpg,320,240,aeolianDune,117,37,285,207
aeolianDune(159).jpg,320,240,aeolianDune,116,36,284,206
aeolianDune(16).jpg,320,240,aeolianDune,124,37,288,205
aeolianDune(160).jpg,320,240,aeolianDune,116,37,285,204
aeolianDune(161).jpg,320,240,aeolianDune,115,37,285,207
aeolianDune(162).jpg,320,240,aeolianDune,115,37,289,205
aeolianDune(163).jpg,320,240,aeolianDune,119,35,285,207
aeolianDune(164).jpg,320,240,aeolianDune,113,37,287,205
aeolianDune(165).jpg,320,240,aeolianDune,120,37,288,205
aeolianDune(166).jpg,320,240,aeolianDune,114,37,288,205
aeolianDune(167).jpg,320,240,aeolianDune,120,37,288,204
aeolianDune(168).jpg,320,240,aeolianDune,115,37,288,206
aeolianDune(169).jpg,320,240,aeolianDune,118,37,288,205
aeolianDune(17).jpg,320,240,aeolianDune,117,35,288,207
aeolianDune(170).jpg,320,240,aeolianDune,117,37,286,204
aeolianDune(171).jpg,320,240,aeolianDune,116,39,287,206
aeolianDune(172).jpg,320,240,aeolianDune,120,37,288,207
aeolianDune(173).jpg,320,240,aeolianDune,116,38,285,207
aeolianDune(174).jpg,320,240,aeolianDune,112,38,287,207
aeolianDune(175).jpg,320,240,aeolianDune,115,37,290,206
aeolianDune(176).jpg,320,240,aeolianDune,111,39,287,207
aeolianDune(177).jpg,320,240,aeolianDune,114,38,285,207
aeolianDune(178).jpg,320,240,aeolianDune,112,38,286,208
aeolianDune(179).jpg,320,240,aeolianDune,109,34,285,207
aeolianDune(18).jpg,320,240,aeolianDune,115,34,289,207
aeolianDune(180).jpg,320,240,aeolianDune,121,35,289,207
aeolianDune(19).jpg,320,240,aeolianDune,120,36,287,208
aeolianDune(2).jpg,320,240,aeolianDune,117,33,284,208
aeolianDune(20).jpg,320,240,aeolianDune,116,37,288,205
aeolianDune(21).jpg,320,240,aeolianDune,118,37,288,207
aeolianDune(22).jpg,320,240,aeolianDune,119,36,287,205
aeolianDune(23).jpg,320,240,aeolianDune,115,37,285,204
aeolianDune(24).jpg,320,240,aeolianDune,117,37,289,207
aeolianDune(25).jpg,320,240,aeolianDune,117,37,289,205
aeolianDune(26).jpg,320,240,aeolianDune,114,38,285,207
aeolianDune(27).jpg,320,240,aeolianDune,111,37,288,205
aeolianDune(28).jpg,320,240,aeolianDune,118,38,287,203
aeolianDune(29).jpg,320,240,aeolianDune,115,37,286,205
aeolianDune(3).jpg,320,240,aeolianDune,121,37,283,208
aeolianDune(30).jpg,320,240,aeolianDune,115,37,288,205
aeolianDune(31).jpg,320,240,aeolianDune,114,34,285,204
aeolianDune(32).jpg,320,240,aeolianDune,118,35,285,205
aeolianDune(33).jpg,320,240,aeolianDune,117,36,286,207
aeolianDune(34).jpg,320,240,aeolianDune,116,37,285,207
aeolianDune(35).jpg,320,240,aeolianDune,119,36,287,207
aeolianDune(36).jpg,320,240,aeolianDune,117,36,286,204
aeolianDune(37).jpg,320,240,aeolianDune,117,35,287,205
aeolianDune(38).jpg,320,240,aeolianDune,114,38,287,206
aeolianDune(39).jpg,320,240,aeolianDune,118,37,286,207
aeolianDune(4).jpg,320,240,aeolianDune,121,35,286,207
aeolianDune(40).jpg,320,240,aeolianDune,114,36,286,207
aeolianDune(41).jpg,320,240,aeolianDune,119,36,285,205
aeolianDune(42).jpg,320,240,aeolianDune,118,37,287,208
aeolianDune(43).jpg,320,240,aeolianDune,116,36,286,206
aeolianDune(44).jpg,320,240,aeolianDune,118,36,288,204
